district,population,building_count,avg_b_levels,commercial,industrial,others,residential,service,unknown,area_sqkm,road_count_pedestrian,road_length_pedestrian_km,count_density,pedestrian_flow_combined
Академический,109200.0,1127,4.862222222222222,118,4,40,374,451,140,5.705559930674316,1243,0.0011222180611572556,18736.02,23790057.706739042
Алексеевский,80400.0,1185,5.031331592689295,117,22,36,252,544,214,5.235716719217197,1379,0.0011657596423111957,15196.79,21176011.98572421
Алтуфьевский,57300.0,613,4.876744186046512,49,99,7,119,145,194,3.2943501483748374,421,0.0003520010284564035,17664.0,7322627.806245933
Арбат,35000.0,859,4.0822010869565215,161,1,38,209,393,57,2.0827157741007,1041,0.0006205604629215962,16838.39,17493985.714748975
Аэропорт,79100.0,1452,4.563053097345133,83,9,27,324,697,312,4.66484934829258,2616,0.0016636997183464646,17313.1,44358474.315089844
Бабушкинский,88200.0,1042,4.966292134831461,74,46,27,279,483,133,4.9341473839473355,876,0.0009466047717475849,17415.38,15658875.584334321
Басманный,110100.0,3821,3.4308405029781603,861,42,191,680,1640,407,8.399070807319909,3361,0.0022037475374114632,13159.62,44057980.75633552
Беговой,42700.0,994,3.7601977750309024,156,66,52,180,417,123,4.042161790978483,1280,0.0007550975941806531,7692.27,13521477.572219955
Бескудниковский,78400.0,577,6.245508982035928,42,45,31,184,174,101,3.2769616738352254,903,0.0007090405044859109,23930.61,21603914.554528225
Бибирево,159900.0,946,4.539845758354756,89,0,41,212,285,319,6.413749221418339,887,0.000854525505311022,24814.42,22113633.555606242
Бирюлёво Восточное,153300.0,1077,6.2388059701492535,63,27,29,223,508,227,14.820751039667924,1559,0.001694024510142617,10439.47,16125680.767481199
Бирюлёво Западное,88300.0,941,4.458797327394209,33,55,12,134,437,270,8.477186605650553,587,0.0007468322378650406,10387.9,6114304.47519591
Богородское,107900.0,1179,5.0513918629550325,99,58,34,439,405,144,8.660037825365855,1452,0.0014302951460050562,10557.71,18091237.37786691
Братеево,109100.0,439,7.384297520661157,33,7,19,96,179,105,7.565843449020271,802,0.0010600740181327176,14392.53,11564896.972766528
Бутырский,71000.0,1213,4.218783351120598,209,55,21,204,525,199,5.029106268069566,1039,0.0008236560542695404,14089.88,14668411.456796756
Вешняки,122100.0,1051,4.29700272479564,86,23,41,213,388,300,10.518369753663638,1112,0.001757193544893488,11392.07,12908388.198913462
Внуково,25000.0,3059,1.993138936535163,24,132,5,229,2604,65,15.295585113905007,470,0.0004464403593618839,1458.44,768195.5225967941
Войковский,69800.0,1059,5.765008576329331,89,113,32,280,431,114,5.3397851539696015,1064,0.0009785517334260658,10619.06,13908274.932145854
Восточное Дегунино,98600.0,592,6.320366132723112,66,126,20,168,152,60,3.892088486772261,458,0.0004824286052074713,26223.87,11602716.6785847
Восточное Измайлово,77900.0,532,6.042857142857143,30,0,39,252,151,60,3.818424847957517,373,0.0005470574802288147,20246.23,7609603.738971709
Восточный,13600.0,388,4.428571428571429,6,3,7,65,300,7,3.50937916689449,104,0.00015338020754877097,4341.08,403034.24985896493
Выхино-Жулебино,224600.0,1929,5.35587044534413,86,24,64,576,889,290,15.13567481779577,1507,0.0018493875336685578,15016.43,22362544.390953835
Гагаринский,79700.0,637,4.829614604462475,79,5,37,165,245,106,5.536995037689824,1556,0.001423651564735565,14651.27,22397202.662428517
Головинский,103100.0,1665,6.018348623853211,80,427,45,367,625,121,8.819341741232128,1051,0.001089609976230274,11550.73,12286415.832306955
Гольяново,162300.0,1505,5.284475281873374,161,211,46,399,472,216,14.370452813056623,1460,0.001651187118644645,10854.9,16489250.762140637
Троицк,60900.0,2259,4.725417439703154,43,58,13,409,1676,60,16.315230267125564,535,0.000751013371028106,3730.8,1996999.0902089945
Щербинка,49300.0,2592,2.5472379969024264,86,23,17,1893,540,33,7.610829486593652,420,0.0004037078536551152,6697.64,2720597.01724671
Даниловский,93400.0,2152,3.9772591262716936,333,219,68,420,917,195,12.498029596144152,2479,0.0021487215313148404,7414.13,18526008.29745462
Дмитровский,92900.0,1167,4.219573400250941,50,84,28,229,460,316,7.072461182016223,1238,0.0011782149758481479,12786.97,16261694.06096518
Донской,51800.0,1366,3.204329004329004,210,56,86,199,634,181,5.689637499629916,1422,0.001070379193963855,9045.2,12946272.940023191
Дорогомилово,73900.0,1138,3.9216433714527743,123,25,26,179,695,90,7.798454962382538,1877,0.0016191122779151143,9416.98,17786895.05409698
Замоскворечье,58200.0,1817,3.651461154668568,458,21,73,328,775,162,4.279636296244759,1842,0.0011915790529541017,13573.38,25049885.686330017
Западное Дегунино,82400.0,1169,6.489304812834225,103,106,28,246,454,232,7.603277282701734,936,0.0007797311568742387,11057.37,10143836.286948362
Зюзино,126500.0,884,7.079315707620529,63,7,50,406,210,148,5.396303281422091,1032,0.0010465618922091437,23224.4,24192116.93483555
